ROMA, CAPITAL DA ITALIA
CASCAVEL, REPTIL RASTEJANTE
RADIO, MEIO DE COMUNICAÇÃO
KRAKATOA,VULCAO DA INDONÉSIA
ESPELHO, OBJETIVO REFLETIVO
CROCODILO, REPTIL COM DENTES
GUATEMALA, PAIS DA AMÉRICA CENTRAL
VARIOLA, DOENÇA CONTAGIOSA
ENDOSCOPIA, EXAME MÉDICO
ESTOCOLMO, CAPITAL DA SUÉCIA
HELSINQUE, CAPITAL DA DINAMARCA
CEBOLA, TEMPERO DE COZINHA
ELEFANTE, MAMIFËRIO GIGANTE
XADREZ, JOGO DE TABULEIRO
VAGALUME, INSETO LUMINOSO
TROGLODITA, MORA EM CAVERNA
ESPANTALHO, ASSUSAT CORVOS
MARMORE, MATERIAL DE ESTÁTUAS
FRANCISCANO, TIPO DE MONGE
LABIRINTITE, INFLAMAÇAO NO OUVIDO INTERNO
